nome,celular,tipo,ddd,city,state,nota_arquivo,responsavel_pacote_a3,tools_searchapi_principais,multiplicidade_enrich,projecao_creditos_searchapi_mid,projecao_custo_usd_searchapi_min,projecao_custo_usd_searchapi_max,projecao_custo_brl_searchapi_mid,score_nao_disponivel_neste_csv
BLUEFIT ACADEMIAS - SP - SJC - JD ORIENT,11972452209,cel_limpo,11,SAO JOSE DOS CAMPO,SP,LEAD_LIST_NAO_RELATORIO_CUSTO,A3a_CompetitorIntel,descobrir_maps|reviews|popular_times|instagram|google_light,MAX_ENRIQUECIMENTO=6,20,0.06,0.1,0.432,exportar_relatorios_com_score_bairro
BUCKLER FIT,11973472733,cel_limpo,11,MACEIO,AL,LEAD_LIST_NAO_RELATORIO_CUSTO,A3a_CompetitorIntel,descobrir_maps|reviews|popular_times|instagram|google_light,MAX_ENRIQUECIMENTO=6,20,0.06,0.1,0.432,exportar_relatorios_com_score_bairro
BUCKLER GROUP LTDA,11953050354,cel_limpo,11,SAO PAULO,SP,LEAD_LIST_NAO_RELATORIO_CUSTO,A3a_CompetitorIntel,descobrir_maps|reviews|popular_times|instagram|google_light,MAX_ENRIQUECIMENTO=6,20,0.06,0.1,0.432,exportar_relatorios_com_score_bairro
GUARUCENTER ACADEMIA DE MUSCULACAO,11976383144,cel_limpo,11,GUARULHOS,SP,LEAD_LIST_NAO_RELATORIO_CUSTO,A3a_CompetitorIntel,descobrir_maps|reviews|popular_times|instagram|google_light,MAX_ENRIQUECIMENTO=6,20,0.06,0.1,0.432,exportar_relatorios_com_score_bairro
MOTION FIT - SAO MIGUEL ACADEMIA LTDA,11914088388,cel_limpo,11,SAO PAULO,SP,LEAD_LIST_NAO_RELATORIO_CUSTO,A3a_CompetitorIntel,descobrir_maps|reviews|popular_times|instagram|google_light,MAX_ENRIQUECIMENTO=6,20,0.06,0.1,0.432,exportar_relatorios_com_score_bairro
MOTION FIT PIRES DO RIO ACADEMIA LTDA,11976526753,cel_limpo,11,SAO PAULO,SP,LEAD_LIST_NAO_RELATORIO_CUSTO,A3a_CompetitorIntel,descobrir_maps|reviews|popular_times|instagram|google_light,MAX_ENRIQUECIMENTO=6,20,0.06,0.1,0.432,exportar_relatorios_com_score_bairro
MOTION FIT SUZANO ACADEMIA LTDA,11952244759,cel_limpo,11,SUZANO,SP,LEAD_LIST_NAO_RELATORIO_CUSTO,A3a_CompetitorIntel,descobrir_maps|reviews|popular_times|instagram|google_light,MAX_ENRIQUECIMENTO=6,20,0.06,0.1,0.432,exportar_relatorios_com_score_bairro
MOVFIT CT LTDA,11957777052,cel_limpo,11,SANTAREM,PA,LEAD_LIST_NAO_RELATORIO_CUSTO,A3a_CompetitorIntel,descobrir_maps|reviews|popular_times|instagram|google_light,MAX_ENRIQUECIMENTO=6,20,0.06,0.1,0.432,exportar_relatorios_com_score_bairro
R&AMP;C FITNESS LTDA,11984529218,cel_limpo,11,CARAPICUIBA,SP,LEAD_LIST_NAO_RELATORIO_CUSTO,A3a_CompetitorIntel,descobrir_maps|reviews|popular_times|instagram|google_light,MAX_ENRIQUECIMENTO=6,20,0.06,0.1,0.432,exportar_relatorios_com_score_bairro
RAFAEL PROTEIN ASS EM CONDICIONAMENTO FI,11985147006,cel_limpo,11,SAO PAULO,SP,LEAD_LIST_NAO_RELATORIO_CUSTO,A3a_CompetitorIntel,descobrir_maps|reviews|popular_times|instagram|google_light,MAX_ENRIQUECIMENTO=6,20,0.06,0.1,0.432,exportar_relatorios_com_score_bairro
REV PARTICIPACOES E INVESTIMENTOS LTDA,11957113912,cel_limpo,11,SAO PAULO,SP,LEAD_LIST_NAO_RELATORIO_CUSTO,A3a_CompetitorIntel,descobrir_maps|reviews|popular_times|instagram|google_light,MAX_ENRIQUECIMENTO=6,20,0.06,0.1,0.432,exportar_relatorios_com_score_bairro
SELF IT ACADEMIAS HOLDING S.A.,11987730029,cel_limpo,11,PAULISTA,PE,LEAD_LIST_NAO_RELATORIO_CUSTO,A3a_CompetitorIntel,descobrir_maps|reviews|popular_times|instagram|google_light,MAX_ENRIQUECIMENTO=6,20,0.06,0.1,0.432,exportar_relatorios_com_score_bairro
SELF IT ACADEMIAS HOLDING S.A.,11998181455,cel_limpo,11,PETROLINA,PE,LEAD_LIST_NAO_RELATORIO_CUSTO,A3a_CompetitorIntel,descobrir_maps|reviews|popular_times|instagram|google_light,MAX_ENRIQUECIMENTO=6,20,0.06,0.1,0.432,exportar_relatorios_com_score_bairro
