city,state,leads_na_cidade,se_1_relatorio_A3_por_cidade_creditos_mid,custo_usd_mid,custo_brl_mid,nota
BRASILIA,DF,17,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
SAO PAULO,SP,14,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
FORTALEZA,CE,9,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
RIO DE JANEIRO,RJ,6,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
GOIANIA,GO,5,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
ITAJAI,SC,5,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
NATAL,RN,5,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
BALNEARIO CAMBORIU,SC,4,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
FLORIANOPOLIS,SC,4,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
RECIFE,PE,4,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
BELO HORIZONTE,MG,3,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
GUARULHOS,SP,3,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
ITAUNA,MG,3,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
VITORIA,ES,3,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
APARECIDA DE GOIAN,GO,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
BARRA VELHA,SC,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
BARRAS,PI,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
CAJUEIRO DA PRAIA,PI,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
CANOINHAS,SC,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
CAXIAS DO SUL,RS,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
CURITIBA,PR,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
EUSEBIO,CE,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
GUAPIRAMA,PR,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
HORTOLANDIA,SP,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
JOAO PESSOA,PB,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
MACEIO,AL,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
OURO PRETO,MG,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
PALHOCA,SC,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
PALMAS,TO,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
PARACATU,MG,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
PAULISTA,PE,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
PETROLINA,PE,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
SANTAREM,PA,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
SAO JOSE DOS CAMPO,SP,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
SUZANO,SP,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
TERESINA,PI,2,20,0.08,0.432,Projecao SearchAPI apenas; LLM/Places a parte. Score nao vem deste arquivo.
