nome,celular,tipo,ddd,city,state
BLUEFIT ACADEMIAS - SP - SJC - JD ORIENT,11972452209,cel_limpo,11,SAO JOSE DOS CAMPO,SP
BUCKLER FIT,11973472733,cel_limpo,11,MACEIO,AL
BUCKLER GROUP LTDA,11953050354,cel_limpo,11,SAO PAULO,SP
GUARUCENTER ACADEMIA DE MUSCULACAO,11976383144,cel_limpo,11,GUARULHOS,SP
MOTION FIT - SAO MIGUEL ACADEMIA LTDA,11914088388,cel_limpo,11,SAO PAULO,SP
MOTION FIT PIRES DO RIO ACADEMIA LTDA,11976526753,cel_limpo,11,SAO PAULO,SP
MOTION FIT SUZANO ACADEMIA LTDA,11952244759,cel_limpo,11,SUZANO,SP
MOVFIT CT LTDA,11957777052,cel_limpo,11,SANTAREM,PA
R&AMP;C FITNESS LTDA,11984529218,cel_limpo,11,CARAPICUIBA,SP
RAFAEL PROTEIN ASS EM CONDICIONAMENTO FI,11985147006,cel_limpo,11,SAO PAULO,SP
REV PARTICIPACOES E INVESTIMENTOS LTDA,11957113912,cel_limpo,11,SAO PAULO,SP
SELF IT ACADEMIAS HOLDING S.A.,11987730029,cel_limpo,11,PAULISTA,PE
SELF IT ACADEMIAS HOLDING S.A.,11998181455,cel_limpo,11,PETROLINA,PE
STAR WHITE AUTO POSTO LTDA,11991853234,cel_limpo,11,SAO BERNARDO DO CA,SP
TOP UP 10 LTDA,11940122820,cel_limpo,11,FORTALEZA,CE
UBIRATAN ALAN DE CARVALHO REVANCHE FITNE,11931003366,cel_limpo,11,SAO PAULO,SP
UTF RIO CLARO ACADEMIA DE GINASTICA LTDA,11978408519,cel_limpo,11,RIO CLARO,SP
VR ACADEMIA LTDA,11940462569,cel_limpo,11,GUARULHOS,SP
WEDO.FIT - THE PROFESSIONAL GYM SOLUTION,11956094545,cel_limpo,11,SAO PAULO,SP
UJAC ACADEMIA DE GINASTICA LTDA,12997104949,cel_limpo,12,SAO JOSE DOS CAMPO,SP
MOTION FIT BADRA ACADEMIA LTDA,13991020746,cel_limpo,13,SAO PAULO,SP
2M OLIVEIRA CONFECCOES LTDA,14996304212,cel_limpo,14,BOTUCATU,SP
WTM FITNESS IMPORTS IMPORTACAO E COMERCI,16992331172,cel_limpo,16,FRANCA,SP
ABSOLUT GYM GINASIO DE ESPORTES LTDA,17996210100,cel_limpo,17,BARRETOS,SP
BARBOZA LEME  MARCHIOLI HOLDING LTDA,19993329588,cel_limpo,19,HORTOLANDIA,SP
