Data,Cidade,Bairro,Status,Tempo_s,Tokens,Custo_BRL,localidade_key,era_mes,custo_mediana_localidade,custo_vs_mediana_local,faixa_tokens,flag_outlier,responsavel_pacote,tools_chamadas_esperadas,score_bairro,score_top1,nota
2026-07-15T01:01:03.491Z,Fortaleza,Cocó,done,3427,53140,6.17,fortaleza|coco,2026-07,4.13,1.49,baixo_<100k,tokens_baixos_custo_alto|tempo_muito_alto,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-13T18:45:52.823Z,Fortaleza,Cocó,done,1687,53725,2.56,fortaleza|coco,2026-07,4.13,0.62,baixo_<100k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-13T11:03:54.565Z,Fortaleza,Cocó,done,1857,46570,2.68,fortaleza|coco,2026-07,4.13,0.65,baixo_<100k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-10T02:00:15.598Z,Fortaleza,Cocó,done,338,87815,1.83,fortaleza|coco,2026-07,4.13,0.44,baixo_<100k,custo_<=0.5x_mediana_local,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-10T00:24:24.931Z,Fortaleza,Cocó,done,333,63507,2.21,fortaleza|coco,2026-07,4.13,0.54,baixo_<100k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-10T00:11:50.189Z,Fortaleza,Cocó,done,536,77356,2.8,fortaleza|coco,2026-07,4.13,0.68,baixo_<100k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-09T23:11:05.276Z,Fortaleza,Cocó,done,271,51013,1.6,fortaleza|coco,2026-07,4.13,0.39,baixo_<100k,custo_<=0.5x_mediana_local,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-09T22:55:58.235Z,Fortaleza,Cocó,done,515,68224,2.26,fortaleza|coco,2026-07,4.13,0.55,baixo_<100k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-09T19:39:15.932Z,Fortaleza,Cocó,done,647,190364,2.73,fortaleza|coco,2026-07,4.13,0.66,medio_100k-500k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-09T17:40:45.887Z,Fortaleza,Cocó,done,901,120032,2.46,fortaleza|coco,2026-07,4.13,0.6,medio_100k-500k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-08T02:20:59.120Z,Fortaleza,Cocó,done,496,75220,2.79,fortaleza|coco,2026-07,4.13,0.68,baixo_<100k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-08T01:20:06.921Z,Fortaleza,Cocó,done,428,112517,2.89,fortaleza|coco,2026-07,4.13,0.7,medio_100k-500k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-06T17:01:31.966Z,Fortaleza,Coco,done,623,74994,2.8,fortaleza|coco,2026-07,4.13,0.68,baixo_<100k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-06T15:06:40.377Z,NITEROI,Santa Rosa,done,535,108681,2.44,niteroi|santa rosa,2026-07,2.44,1.0,medio_100k-500k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-05T23:05:44.829Z,Recife,Boa Viagem,done,715,71486,2.94,recife|boa viagem,2026-07,2.94,1.0,baixo_<100k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-05T22:46:04.921Z,Fortaleza,Cocó,done,432,71124,2.78,fortaleza|coco,2026-07,4.13,0.67,baixo_<100k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-05T17:28:36.291Z,São Paulo,Perdizes,done,400,76521,2.49,sao paulo|perdizes,2026-07,2.49,1.0,baixo_<100k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-04T22:18:43.808Z,São Paulo,Vila Formosa,done,492,71338,3.5,sao paulo|vila formosa,2026-07,3.53,0.99,baixo_<100k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-07-04T03:09:32.460Z,São Paulo,Vila Formosa,done,941,72217,3.53,sao paulo|vila formosa,2026-07,3.53,1.0,baixo_<100k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-06-25T01:08:03.181Z,São Paulo,Vila Formosa,done,1117,117725,4.04,sao paulo|vila formosa,2026-06,3.53,1.14,medio_100k-500k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-06-24T01:54:16.717Z,Fortaleza,Cocó,done,522,80707,2.86,fortaleza|coco,2026-06,4.13,0.69,baixo_<100k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-06-22T17:14:32.732Z,Fortaleza,Cocó,done,484,73883,2.22,fortaleza|coco,2026-06,4.13,0.54,baixo_<100k,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-06-18T17:27:10.793Z,Fortaleza,Cocó,done,843,709637,4.11,fortaleza|coco,2026-06,4.13,1.0,alto_500k-1.5M,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-06-18T14:59:46.675Z,Fortaleza,Cocó,done,901,895956,4.18,fortaleza|coco,2026-06,4.13,1.01,alto_500k-1.5M,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-06-18T12:47:51.299Z,Fortaleza,Cocó,done,989,1319991,4.58,fortaleza|coco,2026-06,4.13,1.11,alto_500k-1.5M,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-06-18T11:30:23.826Z,Fortaleza,Cocó,done,885,917694,5.04,fortaleza|coco,2026-06,4.13,1.22,alto_500k-1.5M,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-06-18T03:39:39.396Z,Fortaleza,Cocó,done,587,527110,3.47,fortaleza|coco,2026-06,4.13,0.84,alto_500k-1.5M,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-06-18T02:27:49.490Z,Fortaleza,Cocó,done,686,637402,3.88,fortaleza|coco,2026-06,4.13,0.94,alto_500k-1.5M,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
2026-06-18T00:16:01.640Z,Fortaleza,Cocó,done,824,946012,4.59,fortaleza|coco,2026-06,4.13,1.11,alto_500k-1.5M,,pipeline_A0-A9 (dominio custo=LLM tokens; SearchAPI enrich N<=6),A3a:descobrir_maps(1x)|reviews(ate6)|pico(ate6)|ig(ate6);A1:geocode|listings_Nx;LLM:A0/A4/A6/A9(tokens),,,Export agregado /custos — sem linhas por tool nem score. Granularidade real exige relatorio_api_calls.
