"Data","Cidade","Bairro","Status","Tempo(s)","Tokens","Custo(BRL)"
"2026-07-15T01:01:03.491Z","Fortaleza","Cocó","done","3427","53140","6.17"
"2026-07-13T18:45:52.823Z","Fortaleza","Cocó","done","1687","53725","2.56"
"2026-07-13T11:03:54.565Z","Fortaleza","Cocó","done","1857","46570","2.68"
"2026-07-10T02:00:15.598Z","Fortaleza","Cocó","done","338","87815","1.83"
"2026-07-10T00:24:24.931Z","Fortaleza","Cocó","done","333","63507","2.21"
"2026-07-10T00:11:50.189Z","Fortaleza","Cocó","done","536","77356","2.8"
"2026-07-09T23:11:05.276Z","Fortaleza","Cocó","done","271","51013","1.6"
"2026-07-09T22:55:58.235Z","Fortaleza","Cocó","done","515","68224","2.26"
"2026-07-09T19:39:15.932Z","Fortaleza","Cocó","done","647","190364","2.73"
"2026-07-09T17:40:45.887Z","Fortaleza","Cocó","done","901","120032","2.46"
"2026-07-08T02:20:59.120Z","Fortaleza","Cocó","done","496","75220","2.79"
"2026-07-08T01:20:06.921Z","Fortaleza","Cocó","done","428","112517","2.89"
"2026-07-06T17:01:31.966Z","Fortaleza","Coco","done","623","74994","2.8"
"2026-07-06T15:06:40.377Z","NITEROI","Santa Rosa","done","535","108681","2.44"
"2026-07-05T23:05:44.829Z","Recife","Boa Viagem","done","715","71486","2.94"
"2026-07-05T22:46:04.921Z","Fortaleza","Cocó","done","432","71124","2.78"
"2026-07-05T17:28:36.291Z","São Paulo","Perdizes","done","400","76521","2.49"
"2026-07-04T22:18:43.808Z","São Paulo","Vila Formosa","done","492","71338","3.5"
"2026-07-04T03:09:32.460Z","São Paulo","Vila Formosa","done","941","72217","3.53"
"2026-06-25T01:08:03.181Z","São Paulo","Vila Formosa","done","1117","117725","4.04"
"2026-06-24T01:54:16.717Z","Fortaleza","Cocó","done","522","80707","2.86"
"2026-06-22T17:14:32.732Z","Fortaleza","Cocó","done","484","73883","2.22"
"2026-06-18T17:27:10.793Z","Fortaleza","Cocó","done","843","709637","4.11"
"2026-06-18T14:59:46.675Z","Fortaleza","Cocó","done","901","895956","4.18"
"2026-06-18T12:47:51.299Z","Fortaleza","Cocó","done","989","1319991","4.58"
"2026-06-18T11:30:23.826Z","Fortaleza","Cocó","done","885","917694","5.04"
"2026-06-18T03:39:39.396Z","Fortaleza","Cocó","done","587","527110","3.47"
"2026-06-18T02:27:49.490Z","Fortaleza","Cocó","done","686","637402","3.88"
"2026-06-18T00:16:01.640Z","Fortaleza","Cocó","done","824","946012","4.59"
"2026-06-17T22:21:13.428Z","Fortaleza","Cocó","done","798","871445","4.15"
"2026-06-17T02:49:44.376Z","Fortaleza","Cocó","done","688","777603","6.45"
"2026-06-16T22:44:03.452Z","Fortaleza","Cocó","done","1012","1116952","6.4"
"2026-06-15T18:06:30.427Z","Fortaleza","Cocó","done","1124","1073584","5.4"
"2026-06-15T16:48:08.674Z","Fortaleza","Cocó","done","","",""
"2026-06-15T13:04:02.376Z","Fortaleza","Cocó","done","1403","1585079","6.88"
"2026-06-15T12:32:13.598Z","Fortaleza","Cocó","done","1375","2680914","10.47"
"2026-06-15T02:39:00.266Z","Fortaleza","Cocó","done","2352","1011219","8.87"
"2026-06-15T01:32:29.087Z","Fortaleza","Cocó","done","1487","1184945","8.58"
"2026-06-15T00:56:55.494Z","Fortaleza","Cocó","done","1173","1327459","8.12"
"2026-06-14T23:50:59.320Z","Fortaleza","Cocó","done","2189","1563470","11.27"
"2026-06-14T21:46:16.649Z","Fortaleza","Cocó","done","866","1181955","12.1"
"2026-06-14T21:23:10.941Z","Fortaleza","Cocó","done","1039","1995146","15.47"
"2026-06-12T22:52:55.752Z","João Pessoa","Bessa","done","959","1423706","9.95"
"2026-06-12T17:46:25.762Z","João Pessoa","Bessa","done","1510","1242698","10.98"
"2026-06-11T19:33:28.570Z","Fortaleza","Cocó","done","929","1982943","17.49"
"2026-06-11T19:26:46.393Z","João Pessoa","Bessa","done","912","1654304","11.92"
"2026-06-11T05:00:43.666Z","Fortaleza","Parquelandia","done","2771","1381525","15.17"
